policy,n,reps,limiting_p,limiting_a,mean_tail_p,theoretical_variance,empirical_mean,mean_se,empirical_variance,variance_se,variance_ci_low,variance_ci_high,variance_ratio,q025,q500,q975,skewness,excess_kurtosis,ks_statistic,ks_p_value
fixed,2500,800,0.6,0.19999999999999996,0.5999999999999999,1.6666666666666665,0.0202,0.044950925264143654,1.6164685456821026,0.08087398933301934,1.4579555265893847,1.7749815647748206,0.9698811274092617,-2.601,0.0,2.48,-0.05534375419031119,0.20289285790293032,0.03794203077958086,0.19465504856235372
annealing,2500,800,0.6,0.19999999999999996,0.6009257124545385,1.6666666666666665,-0.042150000000000014,0.04668099845114171,1.7432924931163958,0.08721915367251125,1.5723429519182737,1.914242034314518,1.0459754958698375,-2.7609999999999997,-0.04,2.48,-0.10532024124697957,0.13685927675655218,0.026544263752643515,0.6160869979202572
logistic_learning,2500,800,0.61,0.21999999999999997,0.6113009021762157,1.7857142857142856,0.05795,0.0481884571877194,1.8577019249061326,0.09294320391207567,1.6755332452384644,2.039870604573801,1.0403130779474343,-2.601,0.04,2.720999999999999,0.02617033258925906,-0.2381140235468493,0.03587409618126314,0.24861869519540114
damped_empirical,2500,800,0.58,0.15999999999999992,0.5807075459091756,1.4705882352941173,-0.019899999999999998,0.04139712719712829,1.3709777121401752,0.06859176886776053,1.2365378451593645,1.5054175791209858,0.9322648442553193,-2.2,-0.04,2.200999999999999,-0.05050260956591498,-0.17029082692958664,0.024983879931336606,0.6904343185467731
